year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN (PwD)","NA",177,177
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",1928,2438
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1189,1192
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",642,642
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",6053,6921
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",2184,2440
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1302,1302
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",641,641
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",6440,9149
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",225,225
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",2726,3095
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",1488,1740
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",561,837
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",8983,9201
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",3126,3424
2017,7,"IIT","Indian Institute of Technology Bhubaneswar","Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1792,1943
2017,7,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",749,2036
2017,7,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",38,38
2017,7,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",383,1037
2017,7,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",157,425
2017,7,"IIT","Indian Institute of Technology Bombay","Aerospace Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",173,231
2017,7,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",830,1507
2017,7,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",47,53
2017,7,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",500,910
2017,7,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",14,14
2017,7,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",267,631
2017,7,"IIT","Indian Institute of Technology Bombay","Chemical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",238,327
2017,7,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OPEN","NA",3051,5116
2017,7,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OBC-NCL","NA",1796,2314
2017,7,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","OBC-NCL (PwD)","NA",110,110
2017,7,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","SC","NA",1021,1493
2017,7,"IIT","Indian Institute of Technology Bombay","Chemistry (4 Years, Bachelor of Science)","AI","ST","NA",661,758
2017,7,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",1046,2308
2017,7,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",31,62
2017,7,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",602,976
2017,7,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",37,37
2017,7,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",203,511
2017,7,"IIT","Indian Institute of Technology Bombay","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",52,117
2017,7,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",1,62
2017,7,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",1,2
2017,7,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",9,45
2017,7,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","NA",1,1
2017,7,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",1,22
2017,7,"IIT","Indian Institute of Technology Bombay","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",4,15
2017,7,"IIT","Indian Institute of Technology Bombay","Economics (4 Years, Bachelor of Science)","AI","OPEN","NA",1426,2555
